ticker,view_return,prior_return
HDFCBANK.NS,-0.1708,0.0658
BHARTIARTL.NS,0.4266,0.0445
APOLLOHOSP.NS,0.6417,0.0668
BIOCON.NS,0.2735,0.0625
JSWENERGY.NS,0.7273,0.1131
SUDARSCHEM.NS,0.025,0.0765
AEGISLOG.NS,-0.0793,0.0978
KPRMILL.NS,0.2488,0.1164
GREENLAM.NS,-0.4748,0.1202
CAMLINFINE.NS,-0.8378,0.1442
SURYAROSNI.NS,0.0469,0.1802
EIDPARRY.NS,0.1048,0.1014
BANDHANBNK.NS,-0.6672,0.1185
ABREL.NS,0.624,0.1364
INDIGO.NS,0.1454,0.0717
MARATHON.NS,-1.7339,0.1551
LTTS.NS,0.6521,0.0888
ASTERDM.NS,0.4252,0.0932
BSE.NS,1.0956,0.135
